prefecture,date,city,location,longitude,latitude
山梨県,2024-08-16,小菅村,橋立,138.940277,35.760277
山梨県,2024-08-16,北杜市,白州町横手,138.28743,35.773617
山梨県,2024-08-16,北杜市,白州町横手,138.28743,35.773617
山梨県,2024-08-17,富士河口湖町,船津,138.758514,35.475739
静岡県,2024-08-17,浜松市天竜区,水窪町山住,137.920242,35.139416
山梨県,2024-08-17,北杜市,白州町横手,138.28743,35.773617
静岡県,2024-08-18,小山町,湯船,138.965775,35.380074
山梨県,2024-08-18,丹波山村,丹波山村,138.91777,35.791737
静岡県,2024-08-19,富士宮市,内房,138.541122,35.189018
山梨県,2024-08-20,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-08-20,笛吹市,御坂町藤野木,138.773087,35.581715
山梨県,2024-08-20,富士吉田市,上暮地,138.827469,35.508064
山梨県,2024-08-20,北杜市,白州町鳥原,138.223312,35.804619
神奈川県,2024-08-20,松田町,寄,139.124084,35.405666
神奈川県,2024-08-21,伊勢原市,日向,139.266983,35.437168
山梨県,2024-08-21,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-08-22,北杜市,白州町大坊,138.316772,35.774014
神奈川県,2024-08-22,清川村,宮ケ瀬,139.214569,35.500069
山梨県,2024-08-22,北杜市,武川町山高,138.33902,35.772934
山梨県,2024-08-23,北杜市,白州町上教来石,138.261169,35.847351
神奈川県,2024-08-23,山北町,向原,139.103058,35.359695
神奈川県,2024-08-23,伊勢原市,日向,139.266983,35.437168
山梨県,2024-08-24,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-08-25,甲府市,善光寺町,138.598938,35.680481
神奈川県,2024-08-27,愛川町,半原,139.264832,35.529568
山梨県,2024-08-27,北杜市,武川町山高,138.33902,35.772934
神奈川県,2024-08-27,相模原市,緑区名倉,139.141983,35.605831
山梨県,2024-08-29,大月市,賑岡町浅利,138.928986,35.623737
山梨県,2024-08-30,大月市,七保町駒宮,138.979416,35.663372
山梨県,2024-08-30,大月市,初狩町下初狩日向,138.940002,35.610554
静岡県,2024-08-31,富士宮市,麓,138.555542,35.402851
山梨県,2024-09-01,北杜市,武川町山高,138.33902,35.772934
静岡県,2024-09-02,静岡市清水区,河内,138.422699,35.143223
神奈川県,2024-09-02,秦野市,蓑毛,139.232025,35.419514
山梨県,2024-09-04,上野原市,大椚,139.083008,35.633598
神奈川県,2024-09-05,愛川町,半原,139.264832,35.529568
山梨県,2024-09-06,大月市,七保町浅川,138.9953,35.653194
静岡県,2024-09-06,富士宮市,上袖野,138.554672,35.272873
神奈川県,2024-09-07,伊勢原市,善波,139.261032,35.389923
山梨県,2024-09-08,富士川町,平林,138.372437,35.571636
山梨県,2024-09-09,南部町,佐野区上佐野,138.506805,35.342133
静岡県,2024-09-09,富士宮市,根原,138.584564,35.415428
山梨県,2024-09-09,道志村,大栗,139.0439,35.532036
山梨県,2024-09-10,富士吉田市,上暮地,138.827469,35.508064
山梨県,2024-09-10,早川町,高住,138.365021,35.403152
神奈川県,2024-09-10,秦野市,蓑毛,139.232025,35.419514
山梨県,2024-09-11,山梨市,三富徳和,138.705383,35.810249
静岡県,2024-09-12,富士宮市,内房,138.541122,35.189018
山梨県,2024-09-12,早川町,奈良田,138.276611,35.603207
山梨県,2024-09-12,富士吉田市,上暮地,138.827469,35.508064
静岡県,2024-09-12,浜松市浜名区,引佐町東久留,137.727951,34.890114
静岡県,2024-09-12,富士宮市,上井出,138.605484,35.325951
山梨県,2024-09-13,身延町,湯之奥,138.510269,35.402004
山梨県,2024-09-13,北杜市,武川町山高,138.33902,35.772934
山梨県,2024-09-15,都留市,禾生、井倉,138.905533,35.551628
神奈川県,2024-09-16,山北町,山北,139.081055,35.361237
山梨県,2024-09-17,都留市,大野,138.942398,35.516033
山梨県,2024-09-17,大月市,賑岡町浅利,138.928986,35.623737
静岡県,2024-09-17,静岡市清水区,蒲原,138.600449,35.13126
静岡県,2024-09-17,富士宮市,上袖野,138.554672,35.272873
静岡県,2024-09-18,静岡市葵区,平山,138.421082,35.073269
静岡県,2024-09-18,富士宮市,上袖野,138.554672,35.272873
神奈川県,2024-09-18,伊勢原市,子易,139.27034,35.417934
山梨県,2024-09-18,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-09-18,市川三郷町,上野,138.522003,35.560444
山梨県,2024-09-18,身延町,北川,138.499924,35.466507
山梨県,2024-09-18,富士河口湖町,船津,138.758514,35.475739
山梨県,2024-09-19,身延町,常葉,138.491684,35.437622
神奈川県,2024-09-19,山北町,皆瀬川,139.063675,35.37212
山梨県,2024-09-19,北杜市,長坂町長坂下条,138.377701,35.805405
